Type,Noun,Adjective,Note,Tags,Locked,HEX,OKLCH_L,OKLCH_C,OKLCH_H,ERP_Code,Spectral,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device
NOUN,Pearl,,,,,,0.95-1,0,0,,,,,,,
NOUN,Cinza,,,,,,0.5-0.95,0,0,,,,,,,
NOUN,Doe,,,,,,0.2-0.5,0,0,,,,,,,
NOUN,Nero,,,,,,0-0.2,0,0,,,,,,,
NOUN,Dove,,,,,,0.5-0.95,0.02,0,,,,,,,
NOUN,Shale,,,,,,0.2-0.5,0.02,0,,,,,,,
NOUN,Wheat,,,,,,0.5-0.95,0.02,60,,,,,,,
NOUN,Caper,,,,,,0.5-0.95,0.02,90,,,,,,,
NOUN,Cola,,,,,,0.2-0.5,0.02,60,,,,,,,
NOUN,Petal,,,,,,0.5-0.95,0.04,0,,,,,,,
NOUN,Raisin,,,,,,0.2-0.5,0.04,0,,,,,,,
