Type,Adjective,Noun,ERP_Code,Note,HEX
"DB","ral","RAL 6022","","","#3E3C32"
"DB","ral","RAL 6024","","","#008754"
"DB","ral","RAL 6025","","","#53753C"
"DB","ral","RAL 6026","","","#005D52"
"DB","ral","RAL 6027","","","#81C0BB"
"DB","ral","RAL 6028","","","#2D5546"
"DB","ral","RAL 6029","","","#007243"
"DB","ral","RAL 6032","","","#0F8558"
"DB","ral","RAL 6033","","","#478A84"
"DB","ral","RAL 6034","","","#7FB0B2"
"DB","ral","RAL 6035","","","#1B542C"
"DB","ral","RAL 6036","","","#005D4C"
"DB","ral","RAL 6037","","","#25E712"
"DB","ral","RAL 6038","","","#00F700"
"DB","ral","RAL 7000","","","#7E8B92"
"DB","ral","RAL 7001","","","#8F999F"
"DB","ral","RAL 7002","","","#817F68"
"DB","ral","RAL 7003","","","#7A7B6D"
"DB","ral","RAL 7004","","","#9EA0A1"
"DB","ral","RAL 7005","","","#6B716F"
"DB","ral","RAL 7006","","","#756F61"
"DB","ral","RAL 7008","","","#746643"
"DB","ral","RAL 7009","","","#5B6259"
"DB","ral","RAL 7010","","","#575D57"
"DB","ral","RAL 7011","","","#555D61"
"DB","ral","RAL 7012","","","#596163"
"DB","ral","RAL 7013","","","#555548"
"DB","ral","RAL 7015","","","#51565C"
"DB","ral","RAL 7016","","","#373F43"
"DB","ral","RAL 7021","","","#2E3234"
"DB","ral","RAL 7022","","","#4B4D46"
"DB","ral","RAL 7023","","","#818479"
"DB","ral","RAL 7024","","","#474A50"
"DB","ral","RAL 7026","","","#374447"
"DB","ral","RAL 7030","","","#939388"
"DB","ral","RAL 7031","","","#5D6970"
"DB","ral","RAL 7032","","","#B9B9A8"
"DB","ral","RAL 7033","","","#818979"
"DB","ral","RAL 7034","","","#939176"
"DB","ral","RAL 7035","","","#CBD0CC"
"DB","ral","RAL 7036","","","#9A9697"
"DB","ral","RAL 7037","","","#7C7F7E"
"DB","ral","RAL 7038","","","#B4B8B0"
"DB","ral","RAL 7039","","","#6B695F"
"DB","ral","RAL 7040","","","#9DA3A6"
"DB","ral","RAL 7042","","","#8F9695"
"DB","ral","RAL 7043","","","#4E5451"
"DB","ral","RAL 7044","","","#BDBDB2"
"DB","ral","RAL 7045","","","#91969A"
"DB","ral","RAL 7046","","","#82898E"
"DB","ral","RAL 7047","","","#CFD0CF"
"DB","ral","RAL 7048","","","#888175"
"DB","ral","RAL 8000","","","#887142"
"DB","ral","RAL 8001","","","#9C6B30"
"DB","ral","RAL 8002","","","#7B5141"
"DB","ral","RAL 8003","","","#80542F"
"DB","ral","RAL 8004","","","#8F4E35"
"DB","ral","RAL 8007","","","#6F4A2F"
"DB","ral","RAL 8008","","","#6F4F28"
"DB","ral","RAL 8011","","","#5A3A29"
"DB","ral","RAL 8012","","","#673831"
"DB","ral","RAL 8014","","","#49392D"
"DB","ral","RAL 8015","","","#633A34"
"DB","ral","RAL 8016","","","#4C2F26"
"DB","ral","RAL 8017","","","#44322D"
"DB","ral","RAL 8019","","","#3F3A3A"
"DB","ral","RAL 8022","","","#211F20"
"DB","ral","RAL 8023","","","#A65E2F"
"DB","ral","RAL 8024","","","#79553C"
"DB","ral","RAL 8025","","","#755C49"
"DB","ral","RAL 8028","","","#4E3B31"
"DB","ral","RAL 8029","","","#763C28"
"DB","ral","RAL 9001","","","#FDF4E3"
"DB","ral","RAL 9002","","","#E7EBDA"
"DB","ral","RAL 9003","","","#F4F4F4"
"DB","ral","RAL 9004","","","#282828"
"DB","ral","RAL 9005","","","#0A0A0A"
"DB","ral","RAL 9006","","","#A5A5A5"
"DB","ral","RAL 9007","","","#8F8F8F"
"DB","ral","RAL 9010","","","#FFFFFF"
"DB","ral","RAL 9011","","","#1C1C1C"
"DB","ral","RAL 9016","","","#F6F6F6"
"DB","ral","RAL 9017","","","#1E1E1E"
"DB","ral","RAL 9018","","","#D7D7D7"
"DB","ral","RAL 9022","","","#9C9C9C"
"DB","ral","RAL 9023","","","#828282"
