Type,Adjective,Noun,ERP_Code,Note,HEX
"DB","ral","RAL 1000","","","#CCC58F"
"DB","ral","RAL 1001","","","#D1BC8A"
"DB","ral","RAL 1002","","","#D2B773"
"DB","ral","RAL 1003","","","#F7BA0B"
"DB","ral","RAL 1004","","","#E2B007"
"DB","ral","RAL 1005","","","#C89F04"
"DB","ral","RAL 1006","","","#E1A100"
"DB","ral","RAL 1007","","","#E79C00"
"DB","ral","RAL 1011","","","#AF8A54"
"DB","ral","RAL 1012","","","#D9C022"
"DB","ral","RAL 1013","","","#E9E5CE"
"DB","ral","RAL 1014","","","#DFCEA1"
"DB","ral","RAL 1015","","","#EADEBD"
"DB","ral","RAL 1016","","","#EAF044"
"DB","ral","RAL 1017","","","#F4B752"
"DB","ral","RAL 1018","","","#F3E03B"
"DB","ral","RAL 1019","","","#A4957D"
"DB","ral","RAL 1020","","","#9A9464"
"DB","ral","RAL 1021","","","#EEC900"
"DB","ral","RAL 1023","","","#F0CA00"
"DB","ral","RAL 1024","","","#B89C50"
"DB","ral","RAL 1026","","","#F5FF00"
"DB","ral","RAL 1027","","","#A38C15"
"DB","ral","RAL 1028","","","#FFAB00"
"DB","ral","RAL 1032","","","#DDB20F"
"DB","ral","RAL 1033","","","#FAAB21"
"DB","ral","RAL 1034","","","#EDAB56"
"DB","ral","RAL 1035","","","#A29985"
"DB","ral","RAL 1036","","","#927549"
"DB","ral","RAL 1037","","","#EEA205"
"DB","ral","RAL 2000","","","#DD7907"
"DB","ral","RAL 2001","","","#BE4E20"
"DB","ral","RAL 2002","","","#C63927"
"DB","ral","RAL 2003","","","#FA842B"
"DB","ral","RAL 2004","","","#E75B12"
"DB","ral","RAL 2005","","","#FF2300"
"DB","ral","RAL 2007","","","#FFA421"
"DB","ral","RAL 2008","","","#F3752C"
"DB","ral","RAL 2009","","","#E15501"
"DB","ral","RAL 2010","","","#D4652F"
"DB","ral","RAL 2011","","","#EC7C25"
"DB","ral","RAL 2012","","","#DB6A50"
"DB","ral","RAL 2013","","","#954527"
"DB","ral","RAL 3000","","","#AB2524"
"DB","ral","RAL 3001","","","#A02128"
"DB","ral","RAL 3002","","","#A1232B"
"DB","ral","RAL 3003","","","#8D1D2C"
"DB","ral","RAL 3004","","","#701F29"
"DB","ral","RAL 3005","","","#5E2028"
"DB","ral","RAL 3007","","","#402225"
"DB","ral","RAL 3009","","","#703731"
"DB","ral","RAL 3011","","","#7E292C"
"DB","ral","RAL 3012","","","#CB8D73"
"DB","ral","RAL 3013","","","#9C322E"
"DB","ral","RAL 3014","","","#D47479"
"DB","ral","RAL 3015","","","#E1A6AD"
"DB","ral","RAL 3016","","","#AC4034"
"DB","ral","RAL 3017","","","#D3545F"
"DB","ral","RAL 3018","","","#D14152"
"DB","ral","RAL 3020","","","#C1121C"
"DB","ral","RAL 3022","","","#D56D56"
"DB","ral","RAL 3024","","","#F70000"
"DB","ral","RAL 3026","","","#FF0000"
"DB","ral","RAL 3027","","","#B42041"
"DB","ral","RAL 3028","","","#E72512"
"DB","ral","RAL 3031","","","#AC323B"
"DB","ral","RAL 3032","","","#711521"
"DB","ral","RAL 3033","","","#B24C43"
"DB","ral","RAL 4001","","","#8A5A83"
"DB","ral","RAL 4002","","","#933D50"
"DB","ral","RAL 4003","","","#D15B8F"
"DB","ral","RAL 4004","","","#691639"
"DB","ral","RAL 4005","","","#83639D"
"DB","ral","RAL 4006","","","#992572"
"DB","ral","RAL 4007","","","#4A203B"
"DB","ral","RAL 4008","","","#904684"
"DB","ral","RAL 4009","","","#A38995"
"DB","ral","RAL 4010","","","#C63678"
"DB","ral","RAL 4011","","","#8773A1"
"DB","ral","RAL 4012","","","#6B6880"
"DB","ral","RAL 5000","","","#384C70"
"DB","ral","RAL 5001","","","#1F4764"
"DB","ral","RAL 5002","","","#2B2C7C"
"DB","ral","RAL 5003","","","#2A3756"
"DB","ral","RAL 5004","","","#1D1F2A"
"DB","ral","RAL 5005","","","#154889"
"DB","ral","RAL 5007","","","#41678D"
"DB","ral","RAL 5008","","","#313C48"
"DB","ral","RAL 5009","","","#2E5978"
"DB","ral","RAL 5010","","","#13447C"
"DB","ral","RAL 5011","","","#232C3F"
"DB","ral","RAL 5012","","","#3481B8"
"DB","ral","RAL 5013","","","#232D53"
"DB","ral","RAL 5014","","","#6C7C98"
"DB","ral","RAL 5015","","","#2874B2"
"DB","ral","RAL 5017","","","#0E518D"
"DB","ral","RAL 5018","","","#21888F"
"DB","ral","RAL 5019","","","#1A5784"
"DB","ral","RAL 5020","","","#0B4151"
"DB","ral","RAL 5021","","","#07737A"
"DB","ral","RAL 5022","","","#2F2A5A"
"DB","ral","RAL 5023","","","#4D668E"
"DB","ral","RAL 5024","","","#6A93B0"
"DB","ral","RAL 5025","","","#296478"
"DB","ral","RAL 5026","","","#102C54"
"DB","ral","RAL 6000","","","#327662"
"DB","ral","RAL 6001","","","#28713E"
"DB","ral","RAL 6002","","","#276235"
"DB","ral","RAL 6003","","","#4B573E"
"DB","ral","RAL 6004","","","#0E4243"
"DB","ral","RAL 6005","","","#0F4336"
"DB","ral","RAL 6006","","","#40433B"
"DB","ral","RAL 6007","","","#283424"
"DB","ral","RAL 6008","","","#35382E"
"DB","ral","RAL 6009","","","#26392F"
"DB","ral","RAL 6010","","","#3E753B"
"DB","ral","RAL 6011","","","#68825B"
"DB","ral","RAL 6012","","","#31403D"
"DB","ral","RAL 6013","","","#797C5A"
"DB","ral","RAL 6014","","","#444337"
"DB","ral","RAL 6015","","","#3D403A"
"DB","ral","RAL 6016","","","#026A52"
"DB","ral","RAL 6017","","","#468641"
"DB","ral","RAL 6018","","","#48A43F"
"DB","ral","RAL 6019","","","#B7D9B1"
"DB","ral","RAL 6020","","","#354733"
"DB","ral","RAL 6021","","","#86A47C"
