Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,RGB_R,RGB_G,RGB_B,RGB,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,CMYK,CIE_L,CIE_A,CIE_B,CIE_LAB,ERP_Code,Note,Tags,Sheen,Profile,Visual_Pattern,Tactile_Texture,Material,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,teknaform,STN101,#f0f0ec,0.9534507720062372,0.005719919467524314,105.82804997725452,240,240,236,"[240, 240, 236]",0%,0%,2%,6%,"[0%, 0%, 2%, 6%]",94.65,-0.54,2.09,"[94.65, -0.54, 2.09]",,,Edge tapes,,,,,,D65,10,M1,2026-09-02T19:52:11.229Z,Nix Spectro L,6.43925273e-1,7.46335781e-1,8.03469551e-1,8.26016819e-1,8.35076201e-1,8.43758726e-1,8.50530636e-1,8.52946484e-1,8.55642927e-1,8.59765136e-1,8.65699780e-1,8.68680453e-1,8.69279206e-1,8.68343818e-1,8.67559731e-1,8.63992584e-1,8.62708855e-1,8.65954614e-1,8.70008826e-1,8.72073579e-1,8.71393740e-1,8.71701384e-1,8.74239242e-1,8.74833930e-1,8.74545372e-1,8.78971338e-1,8.79808605e-1,8.80859387e-1,8.82805097e-1,8.85202456e-1,8.87415683e-1,"[0.643925273,0.746335781,0.803469551,0.826016819,0.835076201,0.843758726,0.850530636,0.852946484,0.855642927,0.859765136,0.86569978,0.868680453,0.869279206,0.868343818,0.867559731,0.863992584,0.862708855,0.865954614,0.870008826,0.872073579,0.87139374,0.871701384,0.874239242,0.87483393,0.874545372,0.878971338,0.879808605,0.880859387,0.882805097,0.885202456,0.887415683]"
DB,teknaform,SX10658-5,#494748,0.4000961174706471,0.0020130844619052827,357.23333099957665,73,71,72,"[73, 71, 72]",0%,3%,1%,71%,"[0%, 3%, 1%, 71%]",30.39,0.68,-0.03,"[30.39, 0.68, -0.03]",,,Edge tapes,,,,,,D65,10,M1,2026-09-02T19:53:13.362Z,Nix Spectro L,5.88592730e-2,6.43402949e-2,6.54358476e-2,6.53544679e-2,6.47578403e-2,6.42111413e-2,6.37107119e-2,6.33326873e-2,6.34159140e-2,6.37492917e-2,6.41768329e-2,6.39640965e-2,6.35147206e-2,6.30568959e-2,6.28425077e-2,6.27079852e-2,6.28936775e-2,6.36714235e-2,6.46769986e-2,6.55163094e-2,6.57396853e-2,6.54770389e-2,6.51700884e-2,6.50398567e-2,6.51810735e-2,6.58680916e-2,6.64086357e-2,6.69633850e-2,6.74753025e-2,6.79711744e-2,6.83142051e-2,"[0.058859273,0.0643402949,0.0654358476,0.0653544679,0.0647578403,0.0642111413,0.0637107119,0.0633326873,0.063415914,0.0637492917,0.0641768329,0.0639640965,0.0635147206,0.0630568959,0.0628425077,0.0627079852,0.0628936775,0.0636714235,0.0646769986,0.0655163094,0.0657396853,0.0654770389,0.0651700884,0.0650398567,0.0651810735,0.0658680916,0.0664086357,0.066963385,0.0674753025,0.0679711744,0.0683142051]"
DB,teknaform,WUX10079-5,#c3bbad,0.7950421953984207,0.022188052268609156,81.19968538262606,195,187,173,"[195, 187, 173]",0%,4%,11%,24%,"[0%, 4%, 11%, 24%]",76.29,1.25,8.48,"[76.29, 1.25, 8.48]",,,Edge tapes,,,,,,D65,10,M1,2026-09-02T19:54:38.682Z,Nix Spectro L,3.50913560e-1,3.95699555e-1,4.13261688e-1,4.18916589e-1,4.19976783e-1,4.22622120e-1,4.26638561e-1,4.31116593e-1,4.38928819e-1,4.50690418e-1,4.63933790e-1,4.74129224e-1,4.82088220e-1,4.87816602e-1,4.92369527e-1,4.96559083e-1,5.04963571e-1,5.16670394e-1,5.25468433e-1,5.30791843e-1,5.32264841e-1,5.32481349e-1,5.33549511e-1,5.33477330e-1,5.32796156e-1,5.35129178e-1,5.35661638e-1,5.36357641e-1,5.37196946e-1,5.38333058e-1,5.39256191e-1,"[0.35091356,0.395699555,0.413261688,0.418916589,0.419976783,0.42262212,0.426638561,0.431116593,0.438928819,0.450690418,0.46393379,0.474129224,0.48208822,0.487816602,0.492369527,0.496559083,0.504963571,0.516670394,0.525468433,0.530791843,0.532264841,0.532481349,0.533549511,0.53347733,0.532796156,0.535129178,0.535661638,0.536357641,0.537196946,0.538333058,0.539256191]"
DB,teknaform,WUX18080-5,#5d564e,0.45672903684463445,0.01611811451042121,68.0146410689295,93,86,78,"[93, 86, 78]",0%,8%,16%,64%,"[0%, 8%, 16%, 64%]",36.98,2.14,5.81,"[36.98, 2.14, 5.81]",,,Edge tapes,,,,,,D65,10,M1,2026-09-02T19:55:43.700Z,Nix Spectro L,6.73204467e-2,7.43609831e-2,7.63554573e-2,7.70180792e-2,7.72981182e-2,7.76473954e-2,7.79780626e-2,7.84692779e-2,7.96391323e-2,8.12694564e-2,8.32518667e-2,8.51060793e-2,8.70702118e-2,8.88361573e-2,9.05492604e-2,9.26618814e-2,9.59717155e-2,9.98502374e-2,1.02747548e-1,1.04850434e-1,1.05593793e-1,1.05206278e-1,1.04539387e-1,1.03830226e-1,1.03041400e-1,1.02663104e-1,1.01900215e-1,1.01242785e-1,1.00717789e-1,1.00320697e-1,9.99681145e-2,"[0.0673204467,0.0743609831,0.0763554573,0.0770180792,0.0772981182,0.0776473954,0.0779780626,0.0784692779,0.0796391323,0.0812694564,0.0832518667,0.0851060793,0.0870702118,0.0888361573,0.0905492604,0.0926618814,0.0959717155,0.0998502374,0.102747548,0.104850434,0.105593793,0.105206278,0.104539387,0.103830226,0.1030414,0.102663104,0.101900215,0.101242785,0.100717789,0.100320697,0.0999681145]"
DB,teknaform,WUX10082-5,#836d57,0.5504068168559755,0.04362412074689459,67.12842249895255,131,109,87,"[131, 109, 87]",0%,17%,34%,49%,"[0%, 17%, 34%, 49%]",47.80,6.48,16.09,"[47.80, 6.48, 16.09]",,,Edge tapes,,,,,,D65,10,M1,2026-09-02T19:56:51.683Z,Nix Spectro L,9.78776097e-2,1.05304740e-1,1.03465600e-1,1.01746663e-1,1.00296363e-1,9.97849017e-2,1.00291295e-1,1.02094805e-1,1.06156410e-1,1.12439211e-1,1.20118369e-1,1.27900966e-1,1.35736334e-1,1.42675120e-1,1.48973757e-1,1.56636640e-1,1.67854500e-1,1.80487141e-1,1.90494120e-1,1.99475896e-1,2.05025560e-1,2.07047370e-1,2.07611343e-1,2.07294193e-1,2.06611496e-1,2.07010525e-1,2.06797084e-1,2.06800389e-1,2.06857064e-1,2.07075736e-1,2.07237819e-1,"[0.0978776097,0.10530474,0.1034656,0.101746663,0.100296363,0.0997849017,0.100291295,0.102094805,0.10615641,0.112439211,0.120118369,0.127900966,0.135736334,0.14267512,0.148973757,0.15663664,0.1678545,0.180487141,0.19049412,0.199475896,0.20502556,0.20704737,0.207611343,0.207294193,0.206611496,0.207010525,0.206797084,0.206800389,0.206857064,0.207075736,0.207237819]"
DB,teknaform,SX10761-5,#f1f2ee,0.9591276213295149,0.004437556108266286,115.41586873403088,241,242,238,"[241, 242, 238]",0%,0%,2%,5%,"[0%, 0%, 2%, 5%]",95.30,-0.66,1.52,"[95.30, -0.66, 1.52]",,,Edge tapes,,,,,,D65,10,M1,2026-09-02T19:57:55.698Z,Nix Spectro L,6.68636715e-1,7.71670043e-1,8.28328609e-1,8.50456393e-1,8.58604085e-1,8.66567457e-1,8.73076737e-1,8.75458276e-1,8.78403938e-1,8.82911277e-1,8.88078690e-1,8.88534200e-1,8.86692655e-1,8.83999264e-1,8.82366371e-1,8.78543139e-1,8.77417922e-1,8.81273520e-1,8.85833061e-1,8.87424505e-1,8.85580111e-1,8.84122503e-1,8.84900832e-1,8.84526813e-1,8.83817339e-1,8.88210392e-1,8.89228976e-1,8.90550864e-1,8.92838240e-1,8.95564806e-1,8.98015797e-1,"[0.668636715,0.771670043,0.828328609,0.850456393,0.858604085,0.866567457,0.873076737,0.875458276,0.878403938,0.882911277,0.88807869,0.8885342,0.886692655,0.883999264,0.882366371,0.878543139,0.877417922,0.88127352,0.885833061,0.887424505,0.885580111,0.884122503,0.884900832,0.884526813,0.883817339,0.888210392,0.889228976,0.890550864,0.89283824,0.895564806,0.898015797]"
DB,teknaform,SX10798-5,#8a8781,0.6237601610012766,0.010100862493657119,79.79572003874193,138,135,129,"[138, 135, 129]",0%,2%,7%,46%,"[0%, 2%, 7%, 46%]",56.38,0.62,3.82,"[56.38, 0.62, 3.82]",,,Edge tapes,,,,,,D65,10,M1,2026-09-02T19:58:57.276Z,Nix Spectro L,2.07483527e-1,2.25030038e-1,2.26289597e-1,2.24361804e-1,2.20958510e-1,2.19162649e-1,2.18664256e-1,2.19032323e-1,2.21565965e-1,2.26056284e-1,2.31512770e-1,2.35176358e-1,2.37522781e-1,2.38815635e-1,2.39938310e-1,2.40727410e-1,2.42473558e-1,2.45799422e-1,2.49467614e-1,2.52687347e-1,2.53641546e-1,2.52558398e-1,2.51041535e-1,2.49719664e-1,2.48672602e-1,2.49069348e-1,2.48519856e-1,2.47983506e-1,2.47672373e-1,2.47613084e-1,2.47569168e-1,"[0.207483527,0.225030038,0.226289597,0.224361804,0.22095851,0.219162649,0.218664256,0.219032323,0.221565965,0.226056284,0.23151277,0.235176358,0.237522781,0.238815635,0.23993831,0.24072741,0.242473558,0.245799422,0.249467614,0.252687347,0.253641546,0.252558398,0.251041535,0.249719664,0.248672602,0.249069348,0.248519856,0.247983506,0.247672373,0.247613084,0.247569168]"
