Type,Adjective,Noun,ERP_Code,Note,HEX
"DB","pionite","SE101 Black","","","#181818"
"DB","pionite","SW811 White","","","#F7F7F7"
"DB","pionite","SG228 Slate","","","#5A5A5A"
"DB","pionite","SG214 Greige","","","#A8A096"
"DB","pionite","ST606 Taupe","","","#8B8070"
"DB","pionite","SP401 Navy","","","#1A2B4C"
"DB","pionite","SR520 Red","","","#A31F24"
"DB","pionite","SY914 Yellow","","","#F2C75C"
"DB","pionite","SG241 Platinum","","","#D0D0D0"
"DB","pionite","SG204 Grey","","","#808080"
