Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,ERP_Code,Note,Tags,Sheen,Profile,Visual_Pattern,Tactile_Texture,Material,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,onTrendByMercury,Noce Duomo RU-09,#97897b,0.6377887567187374,0.0266334388529422,68.49353799843374,,,Textured Laminates,,,,,,D65,10,M1,2026-06-09T19:25:09.859Z,Nix Spectro L,1.99114498e-1,2.11473009e-1,2.06317171e-1,2.01483899e-1,1.96974766e-1,1.95892879e-1,1.98594645e-1,2.04501015e-1,2.15314060e-1,2.30495194e-1,2.42324495e-1,2.45158795e-1,2.45014578e-1,2.44008479e-1,2.43469533e-1,2.43780160e-1,2.47831419e-1,2.56603795e-1,2.68633828e-1,2.85143918e-1,2.96891773e-1,3.00804615e-1,3.00627339e-1,2.99560279e-1,2.98688853e-1,2.99715549e-1,2.99740034e-1,3.00056088e-1,3.00755781e-1,3.01673377e-1,3.02477509e-1,"[0.199114498,0.211473009,0.206317171,0.201483899,0.196974766,0.195892879,0.198594645,0.204501015,0.21531406,0.230495194,0.242324495,0.245158795,0.245014578,0.244008479,0.243469533,0.24378016,0.247831419,0.256603795,0.268633828,0.285143918,0.296891773,0.300804615,0.300627339,0.299560279,0.298688853,0.299715549,0.299740034,0.300056088,0.300755781,0.301673377,0.302477509]"
DB,onTrendByMercury,Rovere Caribe RU-01,#635047,0.4473111216320863,0.02965616709224008,45.707005457646744,,,Textured Laminates,,,,,,D65,10,M1,2026-06-09T19:28:12.149Z,Nix Spectro L,1.15957960e-1,1.08408180e-1,8.81618425e-2,7.51557842e-2,6.49141788e-2,5.85827336e-2,5.64693503e-2,5.82123026e-2,6.43461630e-2,7.38608643e-2,8.10926512e-2,8.17047685e-2,8.00908118e-2,7.80804098e-2,7.69352093e-2,7.66683623e-2,7.77258530e-2,8.17747340e-2,9.05334994e-2,1.05226792e-1,1.16823998e-1,1.21155919e-1,1.21019873e-1,1.20387280e-1,1.20373040e-1,1.21387190e-1,1.21816556e-1,1.22117177e-1,1.22538824e-1,1.23115940e-1,1.23639046e-1,"[0.11595796,0.10840818,0.0881618425,0.0751557842,0.0649141788,0.0585827336,0.0564693503,0.0582123026,0.064346163,0.0738608643,0.0810926512,0.0817047685,0.0800908118,0.0780804098,0.0769352093,0.0766683623,0.077725853,0.081774734,0.0905334994,0.105226792,0.116823998,0.121155919,0.121019873,0.12038728,0.12037304,0.12138719,0.121816556,0.122117177,0.122538824,0.12311594,0.123639046]"
DB,onTrendByMercury,Rovere Molino RU-02,#443938,0.35485479279554255,0.015781551851058007,20.0373740565679,,,Textured Laminates,,,,,,D65,10,M1,2026-06-09T19:37:06.912Z,Nix Spectro L,7.73950301e-2,7.19205149e-2,5.83479449e-2,4.95526545e-2,4.24980707e-2,3.75254281e-2,3.46638419e-2,3.38277221e-2,3.50942478e-2,3.75756063e-2,3.96148950e-2,3.97086360e-2,3.94633584e-2,3.92726168e-2,3.97565395e-2,4.09360729e-2,4.22934331e-2,4.41211976e-2,4.68703203e-2,5.06341763e-2,5.34640774e-2,5.42430378e-2,5.37522480e-2,5.33517279e-2,5.33899516e-2,5.38759455e-2,5.40317513e-2,5.40323086e-2,5.40720485e-2,5.42366378e-2,5.44115581e-2,"[0.0773950301,0.0719205149,0.0583479449,0.0495526545,0.0424980707,0.0375254281,0.0346638419,0.0338277221,0.0350942478,0.0375756063,0.039614895,0.039708636,0.0394633584,0.0392726168,0.0397565395,0.0409360729,0.0422934331,0.0441211976,0.0468703203,0.0506341763,0.0534640774,0.0542430378,0.053752248,0.0533517279,0.0533899516,0.0538759455,0.0540317513,0.0540323086,0.0540720485,0.0542366378,0.0544115581]"
DB,onTrendByMercury,Rovere Chiostra RU-03,#736862,0.5264142831255745,0.016819409912777996,49.823823931706045,,,Textured Laminates,,,,,,D65,10,M1,2026-06-09T19:38:35.685Z,Nix Spectro L,1.77337286e-1,1.74329227e-1,1.54055211e-1,1.39935735e-1,1.27855788e-1,1.19784275e-1,1.15617417e-1,1.14897457e-1,1.18324393e-1,1.25065498e-1,1.32365562e-1,1.36273199e-1,1.38041382e-1,1.38531959e-1,1.39074950e-1,1.39590374e-1,1.40160540e-1,1.42543483e-1,1.48537645e-1,1.58424598e-1,1.65791932e-1,1.67847574e-1,1.66810244e-1,1.65713623e-1,1.65317345e-1,1.66110671e-1,1.66064644e-1,1.65804565e-1,1.65718946e-1,1.65901151e-1,1.66134799e-1,"[0.177337286,0.174329227,0.154055211,0.139935735,0.127855788,0.119784275,0.115617417,0.114897457,0.118324393,0.125065498,0.132365562,0.136273199,0.138041382,0.138531959,0.13907495,0.139590374,0.14016054,0.142543483,0.148537645,0.158424598,0.165791932,0.167847574,0.166810244,0.165713623,0.165317345,0.166110671,0.166064644,0.165804565,0.165718946,0.165901151,0.166134799]"
DB,onTrendByMercury,Laroche Stony RU-04,#474245,0.384446610537364,0.009137594162893873,344.4261754395469,,,Textured Laminates,,,,,,D65,10,M1,2026-06-09T19:40:37.812Z,Nix Spectro L,1.18402681e-1,1.08839194e-1,8.71994257e-2,7.32018515e-2,6.18667327e-2,5.40135138e-2,4.96045463e-2,4.83288132e-2,5.02276920e-2,5.38929053e-2,5.65803051e-2,5.59353568e-2,5.46426937e-2,5.34402780e-2,5.33379585e-2,5.40298529e-2,5.43883488e-2,5.52072294e-2,5.77259079e-2,6.15718618e-2,6.40359767e-2,6.33333802e-2,6.07982121e-2,5.90271339e-2,5.81002943e-2,5.76298013e-2,5.67059502e-2,5.55938795e-2,5.47635958e-2,5.42256050e-2,5.38896516e-2,"[0.118402681,0.108839194,0.0871994257,0.0732018515,0.0618667327,0.0540135138,0.0496045463,0.0483288132,0.050227692,0.0538929053,0.0565803051,0.0559353568,0.0546426937,0.053440278,0.0533379585,0.0540298529,0.0543883488,0.0552072294,0.0577259079,0.0615718618,0.0640359767,0.0633333802,0.0607982121,0.0590271339,0.0581002943,0.0576298013,0.0567059502,0.0555938795,0.0547635958,0.054225605,0.0538896516]"
DB,onTrendByMercury,Larice Bianco RU-05,#d7d2c7,0.8650785801244851,0.015668454485807712,84.90663750664896,,,Textured Laminates,,,,,,D65,10,M1,2026-06-09T19:41:54.948Z,Nix Spectro L,4.64190876e-1,5.29308724e-1,5.59811592e-1,5.70593035e-1,5.73690832e-1,5.78658950e-1,5.85148907e-1,5.91240323e-1,6.01053488e-1,6.16454101e-1,6.33058679e-1,6.42578578e-1,6.45783162e-1,6.45124221e-1,6.42509270e-1,6.36593544e-1,6.33591962e-1,6.37907016e-1,6.49385738e-1,6.67452121e-1,6.79407656e-1,6.82814169e-1,6.82710671e-1,6.81274927e-1,6.79963315e-1,6.82968366e-1,6.83804178e-1,6.85346818e-1,6.87790477e-1,6.90482605e-1,6.92748296e-1,"[0.464190876,0.529308724,0.559811592,0.570593035,0.573690832,0.57865895,0.585148907,0.591240323,0.601053488,0.616454101,0.633058679,0.642578578,0.645783162,0.645124221,0.64250927,0.636593544,0.633591962,0.637907016,0.649385738,0.667452121,0.679407656,0.682814169,0.682710671,0.681274927,0.679963315,0.682968366,0.683804178,0.685346818,0.687790477,0.690482605,0.692748296]"
DB,onTrendByMercury,Olmo Carisma RU-06,#aea99f,0.7372666590241495,0.015161211631994239,83.91381218246516,,,Textured Laminates,,,,,,D65,10,M1,2026-06-09T19:43:44.254Z,Nix Spectro L,3.01206523e-1,3.35068530e-1,3.45687246e-1,3.48295254e-1,3.47897702e-1,3.49927127e-1,3.54463428e-1,3.60393506e-1,3.70031714e-1,3.83112770e-1,3.93181133e-1,3.95172727e-1,3.94694889e-1,3.93498695e-1,3.92829710e-1,3.92324156e-1,3.95302880e-1,4.02139753e-1,4.09199661e-1,4.16058344e-1,4.20051110e-1,4.21738380e-1,4.22890496e-1,4.22891665e-1,4.22553319e-1,4.24591911e-1,4.25033361e-1,4.25653124e-1,4.26660866e-1,4.27936399e-1,4.29087603e-1,"[0.301206523,0.33506853,0.345687246,0.348295254,0.347897702,0.349927127,0.354463428,0.360393506,0.370031714,0.38311277,0.393181133,0.395172727,0.394694889,0.393498695,0.39282971,0.392324156,0.39530288,0.402139753,0.409199661,0.416058344,0.42005111,0.42173838,0.422890496,0.422891665,0.422553319,0.424591911,0.425033361,0.425653124,0.426660866,0.427936399,0.429087603]"
DB,onTrendByMercury,Noce Maximo RU-07,#7f6957,0.5361537398609653,0.03917994252741577,61.48417810667104,,,Textured Laminates,,,,,,D65,10,M1,2026-06-09T19:45:31.808Z,Nix Spectro L,1.11353290e-1,1.13376866e-1,1.04400393e-1,9.86097574e-2,9.43609133e-2,9.31365505e-2,9.54534680e-2,1.01066783e-1,1.11224262e-1,1.25521062e-1,1.36331183e-1,1.38392895e-1,1.37433651e-1,1.35766149e-1,1.34548864e-1,1.34361601e-1,1.37800786e-1,1.46346861e-1,1.60285863e-1,1.81921408e-1,1.98346961e-1,2.04433206e-1,2.04558519e-1,2.03592193e-1,2.02931386e-1,2.03718558e-1,2.03900227e-1,2.04424557e-1,2.05281886e-1,2.06243935e-1,2.07041609e-1,"[0.11135329,0.113376866,0.104400393,0.0986097574,0.0943609133,0.0931365505,0.095453468,0.101066783,0.111224262,0.125521062,0.136331183,0.138392895,0.137433651,0.135766149,0.134548864,0.134361601,0.137800786,0.146346861,0.160285863,0.181921408,0.198346961,0.204433206,0.204558519,0.203592193,0.202931386,0.203718558,0.203900227,0.204424557,0.205281886,0.206243935,0.207041609]"
DB,onTrendByMercury,Noce Paradiso RU-08,#b9afa3,0.7583713542284002,0.02063246449112286,70.54828217059946,,,Textured Laminates,,,,,,D65,10,M1,2026-06-09T19:46:32.220Z,Nix Spectro L,3.48339885e-1,3.78166068e-1,3.79228526e-1,3.75273132e-1,3.69047952e-1,3.66646224e-1,3.68070090e-1,3.72124517e-1,3.81453651e-1,3.96297574e-1,4.10935593e-1,4.18128204e-1,4.21142584e-1,4.21934634e-1,4.22378218e-1,4.22399974e-1,4.25771576e-1,4.34607702e-1,4.47528851e-1,4.64609361e-1,4.75734180e-1,4.78377992e-1,4.77255136e-1,4.75492376e-1,4.74108011e-1,4.75801957e-1,4.75841558e-1,4.75906813e-1,4.76249486e-1,4.76945269e-1,4.77475244e-1,"[0.348339885,0.378166068,0.379228526,0.375273132,0.369047952,0.366646224,0.36807009,0.372124517,0.381453651,0.396297574,0.410935593,0.418128204,0.421142584,0.421934634,0.422378218,0.422399974,0.425771576,0.434607702,0.447528851,0.464609361,0.47573418,0.478377992,0.477255136,0.475492376,0.474108011,0.475801957,0.475841558,0.475906813,0.476249486,0.476945269,0.477475244]"
