Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,ERP_Code,Note,Tags,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,wilsonart,Wilsonart Calcutta Marble 4925,#d6d9d6,0.8814815321428272,0.004628096650414424,144.12637387947257,https://www.wilsonart.com/calcutta-marble-4925,https://assetlibrary.wilsonart.com/transform/PDP_HPL_Carousel_Main_8x8/77995a7b-cd30-4455-b493-4da52768eb2c/4925_8x8-Calcutta-Marble-tif,Laminates,D50,2,,2026-04-15T18:33:05.084Z,Nix Spectro L,4.70000000e-1,5.60000000e-1,6.20000000e-1,6.50000000e-1,6.70000000e-1,6.80000000e-1,6.90000000e-1,6.90000000e-1,7.00000000e-1,7.00000000e-1,7.00000000e-1,7.00000000e-1,6.90000000e-1,6.90000000e-1,6.90000000e-1,6.80000000e-1,6.80000000e-1,6.80000000e-1,6.80000000e-1,6.90000000e-1,6.90000000e-1,6.80000000e-1,6.80000000e-1,6.80000000e-1,6.80000000e-1,6.80000000e-1,6.70000000e-1,6.70000000e-1,6.70000000e-1,6.70000000e-1,6.70000000e-1,"[0.47,0.56,0.62,0.65,0.67,0.68,0.69,0.69,0.7,0.7,0.7,0.7,0.69,0.69,0.69,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.68,0.68,0.68,0.67,0.67,0.67,0.67,0.67]"
DB,wilsonart,Wilsonart Italian di Pesco 4954,#aca79c,0.7290637714111164,0.01697337352550731,89.08839515055666,https://www.wilsonart.com/italian-white-di-pesco-4954,https://assetlibrary.wilsonart.com/transform/PDP_HPL_Carousel_Main_8x8/a38aeb6c-0225-4106-9675-944b40b0c165/4954_8x8-Italian-White-Di-Pesco-tif,Laminates,D50,2,,2026-04-15T18:31:51.186Z,Nix Spectro L,2.60000000e-1,3.00000000e-1,3.20000000e-1,3.30000000e-1,3.30000000e-1,3.40000000e-1,3.40000000e-1,3.40000000e-1,3.50000000e-1,3.60000000e-1,3.70000000e-1,3.80000000e-1,3.90000000e-1,3.90000000e-1,3.90000000e-1,3.80000000e-1,3.80000000e-1,3.80000000e-1,3.90000000e-1,4.00000000e-1,4.10000000e-1,4.10000000e-1,4.10000000e-1,4.10000000e-1,4.10000000e-1,4.10000000e-1,4.10000000e-1,4.10000000e-1,4.10000000e-1,4.10000000e-1,4.10000000e-1,"[0.26,0.3,0.32,0.33,0.33,0.34,0.34,0.34,0.35,0.36,0.37,0.38,0.39,0.39,0.39,0.38,0.38,0.38,0.39,0.4,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41]"
