Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,ERP_Code,Note,Tags,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,tafisa,PM778 Steel Blue Lummia TFL,#8e9797,0.670261054573791,0.0108046172340085,196.651322566744,https://tafisa.ca/en/our-colours/steel-blue,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.257,0.289,0.303,0.307,0.307,0.309,0.312,0.315,0.319,0.325,0.329,0.327,0.322,0.317,0.312,0.305,0.298,0.293,0.289,0.285,0.282,0.283,0.286,0.288,0.289,0.292,0.292,0.292,0.29,0.289,0.288,"[0.257,0.289,0.303,0.307,0.307,0.309,0.312,0.315,0.319,0.325,0.329,0.327,0.322,0.317,0.312,0.305,0.298,0.293,0.289,0.285,0.282,0.283,0.286,0.288,0.289,0.292,0.292,0.292,0.29,0.289,0.288]"
DB,tafisa,PM765 Midnight Sun Lummia TFL,#4f4e4c,0.424005597126516,0.00278036107615889,66.9403987101978,https://tafisa.ca/en/our-colours/midnight-sun,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.0578,0.0663,0.0708,0.0728,0.0739,0.0746,0.0747,0.0743,0.074,0.0736,0.0738,0.0744,0.075,0.0754,0.0757,0.0758,0.0761,0.0768,0.0775,0.0779,0.0779,0.0777,0.0776,0.0775,0.0773,0.0776,0.0776,0.0777,0.0779,0.0781,0.0783,"[0.0578,0.0663,0.0708,0.0728,0.0739,0.0746,0.0747,0.0743,0.074,0.0736,0.0738,0.0744,0.075,0.0754,0.0757,0.0758,0.0761,0.0768,0.0775,0.0779,0.0779,0.0777,0.0776,0.0775,0.0773,0.0776,0.0776,0.0777,0.0779,0.0781,0.0783]"
DB,tafisa,PM774 Sunflower Lummia TFL,#c9a35d,0.735111682926052,0.0994182786817387,81.2920923836363,https://tafisa.ca/en/our-colours/sunflower,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.0697,0.0944,0.11,0.121,0.131,0.139,0.146,0.154,0.164,0.18,0.205,0.243,0.284,0.321,0.353,0.388,0.437,0.485,0.506,0.506,0.498,0.496,0.499,0.5,0.499,0.5,0.501,0.505,0.507,0.51,0.512,"[0.0697,0.0944,0.11,0.121,0.131,0.139,0.146,0.154,0.164,0.18,0.205,0.243,0.284,0.321,0.353,0.388,0.437,0.485,0.506,0.506,0.498,0.496,0.499,0.5,0.499,0.5,0.501,0.505,0.507,0.51,0.512]"
DB,tafisa,PM773 Eucalyptus Lummia TFL,#4d6059,0.470582652168444,0.024989033424376,171.633160677765,https://tafisa.ca/en/our-colours/eucalyptus,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.0661,0.0794,0.0891,0.0943,0.098,0.101,0.104,0.106,0.108,0.112,0.116,0.12,0.122,0.121,0.119,0.114,0.108,0.104,0.0994,0.0934,0.0876,0.0839,0.0824,0.0817,0.0812,0.0813,0.0814,0.0818,0.082,0.0821,0.082,"[0.0661,0.0794,0.0891,0.0943,0.098,0.101,0.104,0.106,0.108,0.112,0.116,0.12,0.122,0.121,0.119,0.114,0.108,0.104,0.0994,0.0934,0.0876,0.0839,0.0824,0.0817,0.0812,0.0813,0.0814,0.0818,0.082,0.0821,0.082]"
DB,tafisa,PM784 Secret Garden,#565240,0.438545717648613,0.029655996354328,97.3071862864175,https://tafisa.ca/en/our-colours/secret-garden,https://tafisa.ca/sites/default/files/styles/large/public/2025-05/materia_24x24_RGB_L784_Secret%20Garden_Jardin%20Secret.jpg,Textured Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.0446,0.0505,0.0526,0.0534,0.0541,0.0546,0.0549,0.0553,0.0563,0.0587,0.0645,0.0729,0.0801,0.0851,0.0877,0.0888,0.0901,0.0913,0.091,0.0894,0.0879,0.0879,0.0891,0.0899,0.0901,0.0907,0.091,0.0913,0.0913,0.0914,0.0914,"[0.0446,0.0505,0.0526,0.0534,0.0541,0.0546,0.0549,0.0553,0.0563,0.0587,0.0645,0.0729,0.0801,0.0851,0.0877,0.0888,0.0901,0.0913,0.091,0.0894,0.0879,0.0879,0.0891,0.0899,0.0901,0.0907,0.091,0.0913,0.0913,0.0914,0.0914]"
DB,tafisa,PM772 Calm Sea Lummia TFL,#424c5a,0.412711283779518,0.0267694490829195,256.268590014307,https://tafisa.ca/en/our-colours/calm-sea,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.0759,0.088,0.0954,0.0985,0.0999,0.101,0.1,0.0988,0.0969,0.0939,0.0899,0.0841,0.0785,0.074,0.0711,0.0685,0.0658,0.064,0.0636,0.063,0.062,0.0608,0.06,0.0598,0.0601,0.061,0.0617,0.062,0.0621,0.0621,0.0619,"[0.0759,0.088,0.0954,0.0985,0.0999,0.101,0.1,0.0988,0.0969,0.0939,0.0899,0.0841,0.0785,0.074,0.0711,0.0685,0.0658,0.064,0.0636,0.063,0.062,0.0608,0.06,0.0598,0.0601,0.061,0.0617,0.062,0.0621,0.0621,0.0619]"
DB,tafisa,PM203 Black Lummia TFL,#353637,0.332855928518837,0.00262390758519107,260.406285034405,https://tafisa.ca/en/our-colours/black-1,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.0329,0.0366,0.0381,0.0386,0.039,0.0391,0.0389,0.0386,0.0383,0.0379,0.0377,0.0375,0.0374,0.0372,0.037,0.0367,0.0365,0.0365,0.0366,0.0367,0.0366,0.0364,0.0362,0.0361,0.036,0.0361,0.036,0.0359,0.0358,0.0357,0.0356,"[0.0329,0.0366,0.0381,0.0386,0.039,0.0391,0.0389,0.0386,0.0383,0.0379,0.0377,0.0375,0.0374,0.0372,0.037,0.0367,0.0365,0.0365,0.0366,0.0367,0.0366,0.0364,0.0362,0.0361,0.036,0.0361,0.036,0.0359,0.0358,0.0357,0.0356]"
DB,tafisa,PM781 Cream Puff Lummia TFL,#cbbaa0,0.795855937646673,0.0407508176243659,78.5655062752678,https://tafisa.ca/en/our-colours/cream-puff,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.204,0.266,0.314,0.34,0.358,0.372,0.381,0.387,0.391,0.397,0.411,0.433,0.455,0.472,0.485,0.497,0.516,0.537,0.551,0.557,0.559,0.56,0.562,0.562,0.561,0.563,0.564,0.566,0.569,0.571,0.573,"[0.204,0.266,0.314,0.34,0.358,0.372,0.381,0.387,0.391,0.397,0.411,0.433,0.455,0.472,0.485,0.497,0.516,0.537,0.551,0.557,0.559,0.56,0.562,0.562,0.561,0.563,0.564,0.566,0.569,0.571,0.573]"
DB,tafisa,PM782 Sand Castle Lummia TFL,#a0876d,0.638769309114535,0.0484379365509509,67.5542690305091,https://tafisa.ca/en/our-colours/sand-castle,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.0864,0.115,0.138,0.15,0.16,0.166,0.17,0.173,0.175,0.177,0.185,0.197,0.211,0.224,0.235,0.247,0.265,0.285,0.299,0.31,0.316,0.318,0.319,0.319,0.318,0.319,0.32,0.322,0.325,0.327,0.329,"[0.0864,0.115,0.138,0.15,0.16,0.166,0.17,0.173,0.175,0.177,0.185,0.197,0.211,0.224,0.235,0.247,0.265,0.285,0.299,0.31,0.316,0.318,0.319,0.319,0.318,0.319,0.32,0.322,0.325,0.327,0.329]"
DB,tafisa,PM783 Tiramisu Lummia TFL,#5d4a3e,0.425156143717194,0.0322529583721082,55.6627025847932,https://tafisa.ca/en/our-colours/tiramisu,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.0429,0.0482,0.0497,0.0501,0.0505,0.0507,0.0508,0.0509,0.0517,0.0529,0.0548,0.0574,0.0604,0.0634,0.0664,0.0702,0.0757,0.082,0.0877,0.0937,0.0976,0.0987,0.0984,0.0978,0.0973,0.0975,0.0974,0.0977,0.0982,0.0988,0.0993,"[0.0429,0.0482,0.0497,0.0501,0.0505,0.0507,0.0508,0.0509,0.0517,0.0529,0.0548,0.0574,0.0604,0.0634,0.0664,0.0702,0.0757,0.082,0.0877,0.0937,0.0976,0.0987,0.0984,0.0978,0.0973,0.0975,0.0974,0.0977,0.0982,0.0988,0.0993]"
