Type;Adjective;Device;Noun;Date;Illuminant;Observer;Method;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
DB;Uniboard;Nix Spectro L;HPL L13 Mythos Omnia;2026-03-10T15:54:43.586Z;D50;2;M2;0.0579597585;0.0613173805;0.0594698563;0.0581607178;0.0568752415;0.0561876535;0.0561865486;0.0567678481;0.0584266461;0.0611602984;0.0634014055;0.0638785623;0.0638701789;0.0637782;0.0638647489;0.0643711828;0.065837647;0.0685802087;0.0722170979;0.0770376056;0.0803481162;0.0813024536;0.0811278597;0.0807952076;0.0805917695;0.0809888065;0.0811212301;0.0812655553;0.0813714206;0.0815238386;0.0815973729
DB;Uniboard;Nix Spectro L;HPL L14 Sepia Omnia;2026-03-10T15:43:09.509Z;D50;2;M2;0.105610016;0.108776294;0.100733666;0.0958455414;0.0923565179;0.0918712988;0.0950704724;0.101514307;0.112644339;0.128541344;0.140831679;0.144068336;0.144020325;0.143018219;0.142101276;0.142200363;0.146384323;0.156209707;0.171937808;0.196429193;0.215167686;0.222537488;0.223367113;0.222647893;0.222014949;0.222967824;0.223260275;0.223994642;0.225100306;0.226305059;0.227333608
DB;Uniboard;Nix Spectro L;HPL L15 Obscura Omnia;2026-03-10T15:55:42.157Z;D50;2;M2;0.105521213;0.109830219;0.103774092;0.0998659521;0.0967640564;0.0958521515;0.0976061016;0.101683389;0.109213643;0.120246066;0.128674296;0.130288425;0.129458721;0.128048497;0.126907916;0.126486774;0.128809986;0.135076992;0.144769904;0.159011579;0.169440246;0.173135927;0.173314208;0.172794437;0.172451508;0.173427147;0.173894793;0.174390599;0.174807742;0.175301269;0.17561039
DB;Uniboard;Nix Spectro L;HPL L17 Ambrette Supermat;2026-03-10T15:16:05.085Z;D50;2;M2;0.0377066843;0.0453133009;0.0485473946;0.0497755937;0.0500961348;0.050066331;0.0497268245;0.0491968699;0.0491113387;0.0498150647;0.0508271188;0.0513700418;0.0524014674;0.0541142724;0.0567458965;0.0611466698;0.0684980765;0.0789252207;0.0927289993;0.112909675;0.129361787;0.138368127;0.142626041;0.144700035;0.146632105;0.149931908;0.152780074;0.155655324;0.158213812;0.160562888;0.162431917
DB;Uniboard;Nix Spectro L;HPL L19 Putty Gres Supermat;2026-03-10T15:14:54.434Z;D50;2;M2;0.169182488;0.215492204;0.250583726;0.27022146;0.284481508;0.295056236;0.301589543;0.304664409;0.306835657;0.310823596;0.321082634;0.33812629;0.354549992;0.367578018;0.376501673;0.383902991;0.395311821;0.407971883;0.413702363;0.412984455;0.409380823;0.407668853;0.409078038;0.409118092;0.407412785;0.407308102;0.406101835;0.405340618;0.404341322;0.403523219;0.402604014
DB;Uniboard;Nix Spectro L;HPL L20 Pacifica Supermat;2026-03-10T15:13:49.887Z;D50;2;M2;0.146730599;0.15868338;0.159265614;0.158143708;0.15599913;0.15456576;0.153603321;0.152731991;0.15265629;0.153205839;0.153011566;0.150318292;0.146482885;0.142595401;0.139303806;0.135262024;0.130134174;0.12581678;0.122960916;0.119649905;0.116318804;0.113612095;0.111860181;0.110865372;0.110234517;0.110237803;0.10961073;0.108539687;0.107241939;0.106132212;0.105097514
DB;Uniboard;Nix Spectro L;HPL L21 Selkie Omnia;2026-03-10T15:51:32.135Z;D50;2;M2;0.216863501;0.221803051;0.204732293;0.194394287;0.18704285;0.185593423;0.191283503;0.203280511;0.223913458;0.252852288;0.274922144;0.280959195;0.281370836;0.279934919;0.278431118;0.278265572;0.284222621;0.29753018;0.315138453;0.33933323;0.356934786;0.363499337;0.364312786;0.363455105;0.362542087;0.364030182;0.364435583;0.365245372;0.366344976;0.367704993;0.368879575
DB;Uniboard;Nix Spectro L;HPL L22 Enchanted Omnia ;2026-03-10T15:44:13.544Z;D50;2;M2;0.148220187;0.150168237;0.136695787;0.128573845;0.12271025;0.121113241;0.124652128;0.132730122;0.146984154;0.16715216;0.182468221;0.186321947;0.186283022;0.185101253;0.184084415;0.184293926;0.189045638;0.199532869;0.214539254;0.236365268;0.2526748;0.258900753;0.259557736;0.25880737;0.258112913;0.259185159;0.25945116;0.260058707;0.260963556;0.262050024;0.262996808
DB;Uniboard;Nix Spectro L;HPL L23 Hanami Omnio;2026-03-10T15:56:58.091Z;D50;2;M2;0.119354376;0.124333127;0.115748207;0.110486461;0.106783621;0.106571238;0.110881563;0.119298819;0.13379775;0.154955131;0.171788415;0.176657337;0.176970205;0.176107478;0.175495711;0.176657265;0.184285381;0.200389987;0.224579379;0.260751539;0.287943858;0.298381996;0.29957605;0.298809063;0.298323184;0.300359315;0.301789665;0.303573793;0.305321956;0.307067299;0.308322531
DB;Uniboard;Nix Spectro L;HPL L24 Sakura Omnia;2026-03-10T15:58:04.656Z;D50;2;M2;0.175635669;0.18094717;0.167572087;0.159388515;0.153646719;0.153018269;0.158675221;0.169906345;0.18902916;0.216067791;0.236694378;0.241923818;0.241749701;0.240106535;0.238754553;0.239183119;0.246510166;0.262804082;0.287337321;0.324249506;0.352089983;0.362737;0.363727951;0.362463188;0.361300701;0.362692457;0.36306265;0.364052856;0.365535623;0.367206389;0.368620378
DB;Uniboard;Nix Spectro L;HPL LO1 Maria Aura;2026-03-10T18:38:12.713Z;D50;2;M2;0.272762924;0.287599438;0.275589091;0.268216676;0.263567758;0.265821069;0.276683861;0.295041108;0.324318814;0.364340281;0.393341565;0.398760277;0.3961456;0.39145515;0.387053883;0.384310484;0.390607798;0.408568436;0.435307354;0.474764282;0.503761101;0.51405617;0.514382911;0.512260854;0.510012424;0.510986871;0.510494494;0.510912913;0.512121677;0.513683271;0.515052354
DB;Uniboard;Nix Spectro L;HPL LO2 Carleton Aura;2026-03-10T18:39:12.728Z;D50;2;M2;0.0854848698;0.0931089461;0.0932877988;0.0931575641;0.0929221764;0.0937256321;0.0958574578;0.099068056;0.104307896;0.111706825;0.117102095;0.117730795;0.116610816;0.115047231;0.11352919;0.112174156;0.112537542;0.115588331;0.120814344;0.128728767;0.134465057;0.136544937;0.136821815;0.136577877;0.136340368;0.137020305;0.137268767;0.137610537;0.137950405;0.138338128;0.138595244
DB;Uniboard;Nix Spectro L;HPL LO3 Bonaventure Aura;2026-03-10T18:35:13.820Z;D50;2;M2;0.437056804;0.4848041;0.496241778;0.49913646;0.499156618;0.502171862;0.508271217;0.516540515;0.53061384;0.550899947;0.567017996;0.571182239;0.57014631;0.567246652;0.564508975;0.561141646;0.562112641;0.570305181;0.582546914;0.598556721;0.608416438;0.610495353;0.609747994;0.60787437;0.605799937;0.607070887;0.606117117;0.605341661;0.604852796;0.604867816;0.604868436
DB;Uniboard;Nix Spectro L;HPL LO4 Flavie Aura;2026-03-10T18:40:31.969Z;D50;2;M2;0.261389703;0.279893219;0.274603409;0.270004481;0.266063553;0.266625381;0.27247541;0.282678884;0.299767393;0.32359063;0.340830874;0.343084884;0.339782143;0.335005313;0.330578655;0.326392263;0.326668894;0.334327579;0.348547739;0.370785421;0.387213433;0.393204057;0.393710846;0.392731547;0.391876954;0.39355396;0.393937969;0.39478575;0.39610371;0.397657776;0.399024582
DB;Uniboard;Nix Spectro L;HPL LO6 Ecru Omnia;2026-03-10T15:53:40.358Z;D50;2;M2;0.212706447;0.219413894;0.205263352;0.196270767;0.18952319;0.187804556;0.19200379;0.201369837;0.217913327;0.241092652;0.258318043;0.262159744;0.261760062;0.260212314;0.259103578;0.259387213;0.264718848;0.276147646;0.291332501;0.312178844;0.327281576;0.33267349;0.332933611;0.331840885;0.330801624;0.331870234;0.331855989;0.332266897;0.333128154;0.334276867;0.335347223
DB;Uniboard;Nix Spectro L;HPL R60 Fresco Rio;2026-03-10T19:56:14.250Z;D50;2;M2;0.496431613;0.572490835;0.611227357;0.628851306;0.638817775;0.647537935;0.654154038;0.658191919;0.663714826;0.6722229;0.681644309;0.688374591;0.692101681;0.693603313;0.694054735;0.692277884;0.69325875;0.698621058;0.702793181;0.703759062;0.701318002;0.69916532;0.699452221;0.698599052;0.696738422;0.698193741;0.696997321;0.695913851;0.694904745;0.694403505;0.693929827
DB;Uniboard;Nix Spectro L;HPL R63 Samba Rio;2026-03-10T20:03:21.124Z;D50;2;M2;0.0548962794;0.0628371052;0.066583252;0.0686232448;0.0699028879;0.0709988564;0.0719690725;0.0727829605;0.0740519747;0.0760474741;0.0777127847;0.078069371;0.0779403508;0.0776898116;0.0774370372;0.0773269877;0.0782105893;0.0803872064;0.083034572;0.0862182632;0.0881824628;0.0887525797;0.088898322;0.0888241857;0.0886837378;0.0891140908;0.0892560184;0.0893340915;0.0892209485;0.0891263574;0.0889247
DB;Uniboard;Nix Spectro L;HPL123 Supermat Charcoal;2026-03-10T15:09:04.415Z;D50;2;M2;0.0700398654;0.0791227639;0.0829145133;0.0846068978;0.0853104904;0.0857448533;0.0857826918;0.0853750467;0.085061349;0.085034059;0.0855453953;0.0862296924;0.0867797092;0.0871078178;0.0872928187;0.0873053938;0.0875091046;0.0881721973;0.0887534648;0.0889693409;0.088754122;0.0885618761;0.0886744067;0.0886713549;0.088631396;0.0891003862;0.0892167419;0.08931216;0.0893347219;0.0893990979;0.0894042894
DB;Uniboard;Nix Spectro L;HPL805 Supermat Sunset Grey;2026-03-10T15:10:12.723Z;D50;2;M2;0.374054974;0.432460028;0.462770456;0.476338655;0.483602595;0.489339197;0.492738658;0.493530762;0.494629669;0.497218603;0.501614118;0.505929112;0.508778453;0.510343766;0.511427736;0.511050665;0.512361276;0.516497302;0.51948241;0.519738007;0.517990112;0.517454386;0.519149423;0.519707656;0.519579875;0.52216835;0.522794724;0.523340011;0.523639321;0.52418406;0.524545646
DB;Uniboard;Nix Spectro L;HPL828 Ingot Grey;2026-03-10T15:33:09.535Z;D50;2;M2;0.0961119458;0.109596585;0.115678254;0.118379562;0.119608352;0.120365991;0.120462166;0.119901319;0.119424587;0.119245744;0.119663942;0.12039212;0.121382982;0.122450973;0.123741898;0.125384924;0.128027564;0.131549129;0.134551722;0.136900735;0.137850657;0.137794247;0.137659335;0.137386701;0.137135458;0.13774021;0.137909865;0.138131577;0.13829827;0.13852517;0.138654631
DB;Uniboard;Nix Spectro L;HPLK80 Celestine Supermat;2026-03-10T15:21:34.998Z;D50;2;M2;0.406886768;0.477682561;0.521285474;0.542580974;0.555452526;0.565821695;0.57311635;0.576667225;0.579533541;0.582298839;0.578882682;0.565408111;0.549242055;0.534782612;0.523444152;0.510737205;0.498940623;0.49232198;0.488012278;0.480884075;0.473151332;0.468860078;0.46864174;0.468918455;0.469450557;0.47302407;0.475041229;0.476493311;0.477077889;0.477668291;0.477729857
DB;Uniboard;Nix Spectro L;HPLK83 Supermat Shipshaw;2026-03-10T15:12:41.383Z;D50;2;M2;0.110776757;0.127585289;0.135992563;0.14000549;0.142249897;0.143945238;0.144912019;0.145140448;0.145596343;0.146687955;0.14856689;0.150701776;0.152672392;0.154256269;0.155582106;0.156857061;0.159220403;0.162577757;0.165112609;0.166576347;0.166669622;0.166184303;0.166006419;0.165657502;0.165217587;0.165723023;0.165729204;0.165884519;0.166049731;0.166293111;0.166445342
